frame,label,value
0,leftPeak3,0









127,result,0.4398582315248957
128,result,0.4315248981915624
129,result,0.4215248981915624
130,result,0.40985823152489576
131,result,0.3965248981915624
132,result,0.38152489819156243
133,result,0.36485823152489577
134,result,0.34652489819156246
135,result,0.32652489819156244
136,result,0.30485823152489583
137,result,0.4072707376172721
138,result,0.40393740428393876
139,result,0.3989374042839388
140,result,0.3922707376172721
141,result,0.3839374042839388
142,result,0.3739374042839388
143,result,0.3622707376172722
144,result,0.3489374042839388
145,result,0.33393740428393887
146,result,0.31727073761727215
147,result,0.29893740428393883
148,result,0.2789374042839389
149,result,0.2572707376172722
150,result,0.23393740428393892
151,result,0.41806824881141824
152,result,0.4147349154780849
153,result,0.40973491547808494
154,result,0.4030682488114183
155,result,0.394734915478085
156,result,0.38473491547808497
157,result,0.3730682488114183
158,result,0.35973491547808495
159,result,0.344734915478085
160,result,0.32806824881141833
161,result,0.309734915478085
162,result,0.289734915478085
163,result,0.2680682488114184
164,result,0.4886397465434335
165,result,0.48530641321010015
166,result,0.4803064132101002
167,result,0.4736397465434335
168,result,0.4653064132101002
169,result,0.4553064132101002
170,result,0.4436397465434336
171,result,0.4303064132101002
172,result,0.41530641321010026
173,result,0.39863974654343354
174,result,0.3803064132101002
175,result,0.3603064132101002
176,result,0.3386397465434336
177,result,0.6565752510328791
178,result,0.6532419176995458
179,result,0.6482419176995458
180,result,0.641575251032879
181,result,0.6332419176995457
182,result,0.6232419176995457
183,result,0.6115752510328791
184,result,0.9797441287498613
185,result,0.9764107954165281
186,result,0.971410795416528
187,result,0.9647441287498614
188,result,0.9564107954165281
189,result,0.9464107954165281
190,result,0.9347441287498613
191,result,0.921410795416528
192,result,0.906410795416528
193,result,0.8897441287498614
194,result,0.8714107954165281
195,result,0.8514107954165281
196,result,0.8297441287498614
197,result,0.8064107954165282
198,result,0.781410795416528
199,result,0.7547441287498614
200,result,0.7264107954165281
201,result,0.6964107954165281
202,result,0.6647441287498614
203,result,0.6314107954165281
204,result,0.5964107954165281
205,result,0.7914835419999635
206,result,0.7881502086666302
207,result,0.7831502086666302
208,result,0.7764835419999635
209,result,0.7681502086666302
210,result,0.7581502086666303
211,result,0.7464835419999636
212,result,0.7331502086666303
213,result,0.7181502086666303
214,result,0.7014835419999637
215,result,0.6831502086666302
216,result,0.6631502086666302
217,result,0.6414835419999636
218,result,0.6181502086666303
219,result,0.5931502086666303
220,result,0.5859655158114714
221,result,0.5826321824781381
222,result,0.5776321824781381
223,result,0.5709655158114714
224,result,0.5626321824781381
225,result,0.5526321824781381
226,result,0.5409655158114715
227,result,0.5276321824781381
228,result,0.5126321824781381
229,result,0.49596551581147147
230,result,0.47763218247813816
231,result,0.45763218247813814
232,result,0.43596551581147147
233,result,0.4126321824781381
234,result,0.5735050528429063
235,result,0.5701717195095729
236,result,0.565171719509573
237,result,0.5585050528429063
238,result,0.550171719509573
239,result,0.540171719509573
240,result,0.6372938614530328
241,result,0.6339605281196995
242,result,0.6289605281196995
243,result,0.6222938614530328
244,result,0.6139605281196995
245,result,0.6039605281196995
246,result,0.5922938614530329
247,result,0.5789605281196996
248,result,0.733475507256739
249,result,0.7301421739234057
250,result,0.7251421739234057
251,result,0.718475507256739
252,result,0.7101421739234057
253,result,0.7001421739234058
254,result,0.6884755072567391
255,result,0.6751421739234057
256,result,0.6601421739234058
257,result,0.6434755072567391
258,result,0.6251421739234058
259,result,0.6051421739234057
260,result,0.5834755072567391
261,result,0.5601421739234057
262,result,0.5351421739234058
263,result,0.5084755072567391
264,result,0.48014217392340575
265,result,0.4501421739234057
266,result,0.41847550725673904
267,result,0.3851421739234057
268,result,0.3501421739234057
269,result,0.31347550725673906
270,result,0.27514217392340573
271,result,0.23514217392340572
272,result,0.19347550725673904
273,result,0.1501421739234057
274,result,0.1051421739234057
275,result,0.05847550725673903
276,result,0.010142173923405681
277,result,0
278,result,0
279,result,0
280,result,0
281,result,0
282,result,0
283,result,0
284,result,0
285,result,0
286,result,0
287,result,0
288,result,0
289,result,0
290,result,0
291,result,0
292,result,0
293,result,0
294,result,0
295,result,0
296,result,0
297,result,0
298,result,0
299,result,0
300,result,0
301,result,0
302,result,0
303,result,0
304,result,0
305,result,0
306,result,0
307,result,0
308,result,0
309,result,0
310,result,0
311,result,0
312,result,0
